data_seed,model_seed,node_index,target,prediction,important_feature_delta,random_feature_delta_mean,feature_rank_spearman,feature_top2_causal_overlap,important_edge_delta,random_edge_delta_mean,fidelity_plus,fidelity_minus,characterization,sparsity,causal_edge_precision,causal_edge_recall,random_causal_edge_precision,random_causal_edge_recall
2026,0,1,0.12046148627996445,0.13193275034427643,0.06989447772502899,0.08340648300945759,0.942857142857143,1.0,0.12268497049808502,0.0407582588493824,0.12268497049808502,0.004768818616867065,0.2184419787142273,0.4285714285714286,0.75,0.75,0.55,0.55
2026,0,6,0.1988527625799179,0.17129340767860413,0.06005091965198517,0.08374031782150268,1.0,1.0,0.13840454816818237,0.13840454816818237,0.13840454816818237,0.0,0.24315529728142854,0.0,1.0,1.0,1.0,1.0
2026,0,9,0.17997092008590698,0.20027056336402893,0.06303265690803528,0.09329906105995178,0.9411764705882354,1.0,0.0877666175365448,0.056128669530153275,0.0877666175365448,0.0037104785442352295,0.16132183240354434,0.4285714285714286,0.75,0.75,0.5625,0.5625
2026,0,29,0.3204866349697113,0.3063223361968994,0.2888028025627136,0.10103405863046647,0.4285714285714286,0.5,0.023562997579574585,0.018463535606861113,0.023562997579574585,0.014321327209472656,0.04602573370297796,0.4285714285714286,0.75,0.75,0.6,0.6
2026,0,31,0.2574611008167267,0.1965252310037613,0.047167569398880005,0.08554846979677677,0.7058823529411765,0.5,0.10057215392589569,0.01912654936313629,0.10057215392589569,0.004621386528015137,0.18268589083857179,0.6,0.75,0.75,0.325,0.325
2026,0,38,0.08570866286754608,0.08819121867418289,0.0648995116353035,0.08078408129513263,0.9411764705882354,1.0,0.08276955038309097,0.028756747022271156,0.08276955038309097,0.0014651566743850708,0.15286774104457412,0.6,1.0,1.0,0.4,0.4
2026,0,40,0.052356570959091187,0.058586858212947845,0.2745736911892891,0.05998229496181011,0.2571428571428572,0.0,0.08748713880777359,0.01544981710612774,0.08748713880777359,0.002568058669567108,0.16086447053980543,0.7142857142857143,0.5,0.5,0.275,0.275
2026,0,43,0.3307638168334961,0.3825919032096863,0.10994496941566467,0.12531348541378975,0.8857142857142858,1.0,0.03341323137283325,0.01736924350261688,0.03341323137283325,0.017042815685272217,0.06462953923521736,0.4285714285714286,0.5,0.5,0.5625,0.5625
2026,0,45,0.25230419635772705,0.2837219536304474,0.09431120753288269,0.15662095583975316,0.7714285714285715,0.5,0.05762842297554016,0.03579186499118805,0.05762842297554016,0.016979992389678955,0.10887421943276981,0.6,0.75,0.75,0.3875,0.3875
2026,0,46,0.11005116254091263,0.12593020498752594,0.03151978552341461,0.07237905096262694,0.6470588235294118,0.5,0.14382578432559967,0.03051619976758957,0.14382578432559967,0.010940924286842346,0.2511326655101225,0.7142857142857143,0.75,0.75,0.2875,0.2875
2026,0,53,0.08318562060594559,0.07824452221393585,0.037875667214393616,0.04676950834691525,0.9411764705882354,1.0,0.09617367386817932,0.017795219644904138,0.09617367386817932,0.002164408564567566,0.17543821206695273,0.5,0.75,0.75,0.4875,0.4875
2026,0,61,0.2711745500564575,0.2638906240463257,0.012056916952133179,0.11959240138530731,0.7714285714285715,1.0,0.09657272696495056,0.02929360568523407,0.09657272696495056,0.003056138753890991,0.1760880234455511,0.6,1.0,1.0,0.375,0.375
2026,0,69,0.09660129249095917,0.09870051592588425,0.06938710063695908,0.05577602796256542,0.9411764705882354,1.0,0.06469246000051498,0.025475365668535234,0.06469246000051498,0.0010062232613563538,0.12151584313161755,0.4285714285714286,1.0,1.0,0.55,0.55
2026,0,72,0.39079099893569946,0.47432851791381836,0.040071308612823486,0.1798313744366169,0.4285714285714286,0.5,0.0697941780090332,0.02558603435754776,0.0697941780090332,0.03763964772224426,0.1301494064402292,0.4285714285714286,0.75,0.75,0.625,0.625
2026,0,75,0.5861634016036987,0.544331967830658,0.341502383351326,0.15793006345629693,0.5428571428571429,0.5,0.013832390308380127,0.010427269339561462,0.013832390308380127,0.005909919738769531,0.02728511843592756,0.6923076923076923,0.5,0.5,0.3125,0.3125
2026,0,76,0.7505032420158386,0.6737074851989746,0.3699808418750763,0.11142739951610565,0.6,0.5,0.025622427463531494,0.017312806844711304,0.025622427463531494,0.0022826790809631348,0.049961783903658345,0.4285714285714286,0.75,0.75,0.5375,0.5375
2026,0,94,0.07834595441818237,0.0909663662314415,0.07052590698003769,0.07969941310584545,0.942857142857143,1.0,0.001583203673362732,0.024891234934329987,0.001583203673362732,0.09467922896146774,0.0031608796746868764,0.6,0.25,0.25,0.3875,0.3875
2026,0,107,0.168531596660614,0.18039748072624207,0.0679590106010437,0.11055612862110138,0.8823529411764706,1.0,0.09439754486083984,0.03417350426316261,0.09439754486083984,0.0018890202045440674,0.17248236304788528,0.6,0.75,0.75,0.3875,0.3875
2026,0,110,0.18596835434436798,0.17157211899757385,0.266580730676651,0.06740608140826225,0.8285714285714287,0.5,0.03823694586753845,0.01953258514404297,0.03823694586753845,0.002979263663291931,0.07364935045533663,0.6,0.75,0.75,0.4375,0.4375
2026,0,111,0.18434055149555206,0.194441556930542,0.19759395718574524,0.07517984136939049,1.0,1.0,0.046455636620521545,0.03152494728565216,0.046455636620521545,0.02460382878780365,0.08868732186712482,0.4285714285714286,0.5,0.5,0.65,0.65
2026,0,126,0.15032857656478882,0.17155645787715912,0.020989567041397095,0.05956358127295971,0.942857142857143,1.0,0.13815797865390778,0.05392405614256859,0.13815797865390778,0.008962824940681458,0.2425084670737914,0.4285714285714286,0.75,0.75,0.5625,0.5625
2026,0,129,0.34777340292930603,0.3289572298526764,0.0713735818862915,0.07677542716264725,0.942857142857143,1.0,0.029221773147583008,0.029221773147583008,0.029221773147583008,0.0,0.056784210964011185,0.0,1.0,1.0,1.0,1.0
2026,0,132,0.10467644035816193,0.12021905928850174,0.07007937878370285,0.09583385773003102,0.823529411764706,0.5,0.09767761081457138,0.015162890404462814,0.09767761081457138,0.006468482315540314,0.17786835242091592,0.6,0.75,0.75,0.375,0.375
2026,0,141,0.04729419946670532,0.04306742548942566,0.18501408398151398,0.03697540182620287,0.7647058823529412,0.5,0.07178746908903122,0.01795619111508131,0.07178746908903122,0.004356026649475098,0.13391915980520375,0.6,0.75,0.75,0.425,0.425
2026,0,143,0.21294467151165009,0.23511411249637604,0.10073994100093842,0.12447008937597275,0.7714285714285715,0.5,0.09995506703853607,0.09995506703853607,0.09995506703853607,0.0,0.18174390942650065,0.0,1.0,1.0,1.0,1.0
2026,0,145,0.4959162175655365,0.5041050910949707,0.3728581815958023,0.14022116735577583,0.942857142857143,0.5,0.006787538528442383,0.012983527779579163,0.006787538528442383,0.0012605786323547363,0.013483442160730712,0.4285714285714286,0.75,0.75,0.5875,0.5875
2026,0,155,0.10060719400644302,0.07551390677690506,0.19093208760023117,0.0668425315991044,1.0,1.0,0.021280530840158463,0.04949912428855896,0.021280530840158463,0.01912195235490799,0.04165729055554458,0.4285714285714286,0.75,0.75,0.5875,0.5875
