data_seed,model_seed,node_index,variable,true_effect,model_effect,absolute_effect_error,sign_agreement
2026,0,1,age,0.049654265505820167,0.052859678864479065,0.0032054133586588984,1
2026,0,1,poor_health,0.04527450763537183,0.047534339129924774,0.002259831494552944,1
2026,0,1,smoking,1.3877787807814457e-17,0.0,1.3877787807814457e-17,1
2026,0,1,bmi_risk,0.001768555123246196,0.0019459575414657593,0.00017740241821956326,1
2026,0,1,nonadherence,0.04384890020265181,0.04622156172990799,0.0023726615272561813,1
2026,0,1,claim_rate,0.013108345762098031,0.014324299991130829,0.001215954229032798,1
2026,0,1,claim_severity,0.029117565684832217,0.021543800830841064,0.007573764853991152,1
2026,0,1,provider_complication,0.007107700023202643,0.0018535107374191284,0.005254189285783514,1
2026,0,1,coverage_gap,0.00392697049486751,0.004777118563652039,0.0008501480687845286,1
2026,0,6,age,0.06014236978389903,0.0550498440861702,0.005092525697728834,1
2026,0,6,poor_health,0.0955777696827884,0.08094722777605057,0.014630541906737835,1
2026,0,6,smoking,0.0,0.0,0.0,1
2026,0,6,bmi_risk,0.03569139259940399,0.03384101390838623,0.0018503786910177566,1
2026,0,6,nonadherence,0.041188164320257126,0.03474375605583191,0.0064444082644252165,1
2026,0,6,claim_rate,0.038213602132198043,0.038212716579437256,8.855527607876112e-07,1
2026,0,6,claim_severity,0.0577888496326224,0.04117068648338318,0.016618163149239223,1
2026,0,6,provider_complication,0.010701880474697473,0.0025611817836761475,0.008140698691021325,1
2026,0,6,coverage_gap,0.016695921686983584,0.018436461687088013,0.001740540000104429,1
2026,0,9,age,0.05790879522836481,0.06151777505874634,0.0036089798303815257,1
2026,0,9,poor_health,0.08169600622120549,0.08629726618528366,0.004601259964078175,1
2026,0,9,smoking,0.0,0.0,0.0,1
2026,0,9,bmi_risk,0.045892475925498444,0.05193570256233215,0.0060432266368337095,1
2026,0,9,nonadherence,0.052485371995345115,0.054275959730148315,0.0017905877348032007,1
2026,0,9,claim_rate,0.0,0.0,0.0,1
2026,0,9,claim_severity,0.03485245955382965,0.02817472815513611,0.006677731398693543,1
2026,0,9,provider_complication,0.026074787887174766,0.008124545216560364,0.017950242670614402,1
2026,0,9,coverage_gap,0.04430130915940042,0.05566203594207764,0.011360726782677216,1
2026,0,29,age,0.1095975325540742,0.10799559950828552,0.0016019330457886782,1
2026,0,29,poor_health,0.17112112054447176,0.16742293536663055,0.0036981851778412067,1
2026,0,29,smoking,0.0,0.0,0.0,1
2026,0,29,bmi_risk,0.04358234522920057,0.0473233163356781,0.003740971106477531,1
2026,0,29,nonadherence,0.024058614410640555,0.029535949230194092,0.0054773348195535365,1
2026,0,29,claim_rate,0.05380733905354024,0.06719525158405304,0.013387912530512802,1
2026,0,29,claim_severity,0.139769117006438,0.10141992568969727,0.03834919131674072,1
2026,0,29,provider_complication,0.05547205053294568,0.011985987424850464,0.04348606310809522,1
2026,0,29,coverage_gap,0.03688877494378939,0.04362070560455322,0.00673193066076383,1
2026,0,31,age,0.133405415494228,0.10626260191202164,0.027142813582206354,1
2026,0,31,poor_health,0.14899471510127246,0.11435475945472717,0.03463995564654529,1
2026,0,31,smoking,0.0,0.0,0.0,1
2026,0,31,bmi_risk,0.01804889187598721,0.014404252171516418,0.0036446397044707923,1
2026,0,31,nonadherence,0.012191096456443368,0.011877819895744324,0.00031327656069904397,1
2026,0,31,claim_rate,0.0,0.0,0.0,1
2026,0,31,claim_severity,0.08115998261614016,0.049963533878326416,0.031196448737813742,1
2026,0,31,provider_complication,0.05207864399000478,0.013010919094085693,0.03906772489591909,1
2026,0,31,coverage_gap,0.009685802222049705,0.010092899203300476,0.00040709698125077076,1
2026,0,38,age,0.03950900090765492,0.03839576616883278,0.00111323473882214,1
2026,0,38,poor_health,0.019722493169770275,0.01910948008298874,0.0006130130867815359,1
2026,0,38,smoking,0.0,0.0,0.0,1
2026,0,38,bmi_risk,0.009556792945625295,0.009455464780330658,0.00010132816529463684,1
2026,0,38,nonadherence,0.011355140611794157,0.010806269943714142,0.0005488706680800148,1
2026,0,38,claim_rate,0.0,0.0,0.0,1
2026,0,38,claim_severity,0.009204046456389267,0.006564579904079437,0.00263946655230983,1
2026,0,38,provider_complication,0.005224407375279919,0.0012399852275848389,0.00398442214769508,1
2026,0,38,coverage_gap,0.017026596425357574,0.01951746642589569,0.0024908700005381174,1
2026,0,40,age,0.022240886660077192,0.02401140332221985,0.0017705166621426564,1
2026,0,40,poor_health,0.0029632952138361757,0.0031179040670394897,0.00015460885320331408,1
2026,0,40,smoking,-6.938893903907228e-18,0.0,6.938893903907228e-18,1
2026,0,40,bmi_risk,0.005219221611669052,0.005831524729728699,0.0006123031180596469,1
2026,0,40,nonadherence,0.006060041695001767,0.006396126002073288,0.00033608430707152137,1
2026,0,40,claim_rate,0.006087190745385315,0.007186517119407654,0.0010993263740223386,1
2026,0,40,claim_severity,-6.938893903907228e-18,0.0,6.938893903907228e-18,1
2026,0,40,provider_complication,0.00335654792081444,0.0009255297482013702,0.0024310181726130697,1
2026,0,40,coverage_gap,0.006551197441727712,0.009420804679393768,0.0028696072376660567,1
2026,0,43,age,0.16637563702752994,0.21108724176883698,0.04471160474130703,1
2026,0,43,poor_health,0.1759116291118076,0.21965518593788147,0.043743556826073865,1
2026,0,43,smoking,0.0,0.0,0.0,1
2026,0,43,bmi_risk,0.036646874112485794,0.046621173620224,0.009974299507738205,1
2026,0,43,nonadherence,0.05010177924837411,0.0772692859172821,0.027167506668907992,1
2026,0,43,claim_rate,0.05483213897265332,0.08139485120773315,0.026562712235079833,1
2026,0,43,claim_severity,0.11356044576396368,0.09828615188598633,0.015274293877977352,1
2026,0,43,provider_complication,0.03397924566241439,0.007835358381271362,0.02614388728114303,1
2026,0,43,coverage_gap,0.02995572935559676,0.03602766990661621,0.00607194055101945,1
2026,0,45,age,0.11117739048893338,0.12104913592338562,0.00987174543445224,1
2026,0,45,poor_health,0.0624719113090102,0.06617310643196106,0.003701195122950862,1
2026,0,45,smoking,0.12625598267638294,0.14348208904266357,0.017226106366280636,1
2026,0,45,bmi_risk,0.031739253788178795,0.033517539501190186,0.0017782857130113905,1
2026,0,45,nonadherence,0.012730394096752945,0.013505131006240845,0.0007747369094878997,1
2026,0,45,claim_rate,0.0,0.0,0.0,1
2026,0,45,claim_severity,0.0556282973014203,0.0449686199426651,0.010659677358755199,1
2026,0,45,provider_complication,0.05131786494686738,0.01665133237838745,0.03466653256847993,1
2026,0,45,coverage_gap,0.06012925968242147,0.07757478952407837,0.017445529841656898,1
2026,0,46,age,0.07152301415753753,0.08004353940486908,0.008520525247331545,1
2026,0,46,poor_health,0.01825786786711879,0.02049878239631653,0.002240914529197738,1
2026,0,46,smoking,-1.3877787807814457e-17,0.0,1.3877787807814457e-17,1
